"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-03-29","50","53","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-03-30","51","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-03-31","51","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-01","52","62","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-02","54","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-03","51","55","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-04","49","58","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-05","51","59","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-06","52","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-07","56","61","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-08","55","66","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-09","56","71","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-10","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-11","58","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-12","53","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-13","53","62","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-14","53","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-15","53","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-16","53","60","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-17","54","59","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-18","54","59","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-19","53","61","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-20","55","66","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-21","58","72","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-22","59","69","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-23","57","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-24","55","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-25","56","77","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-26","58","77","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-27","60","83","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-28","60","67","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-29","56","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-04-30","55","61","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-01","55","59","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-02","53","58","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-03","55","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-04","54","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-05","56","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-06","57","63","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-07","57","65","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-08","57","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-09","58","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-10","57","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-11","58","63","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-12","58","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-13","59","82","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-14","62","72","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-15","62","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-16","60","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-17","58","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-18","58","64","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-19","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-20","57","63","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-21","59","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-22","59","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-23","59","67","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-24","58","66","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-25","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-26","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-27","59","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-28","57","61","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-29","59","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-30","61","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-05-31","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-01","59","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-02","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-03","59","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-04","60","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-05","60","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-06","62","69","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-07","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-08","63","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-09","61","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-10","59","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-11","60","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-12","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-13","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-14","62","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-15","62","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-16","63","73","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-17","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-18","62","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-19","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-20","60","69","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-21","59","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-22","59","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-23","61","68","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-24","60","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-25","60","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-26","58","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-27","57","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-28","57","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-29","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-06-30","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-01","62","81","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-07-02","70","81","60"
